Vteam,Hteam
New York Knicks,Cleveland Cavaliers
San Antonio Spurs,Golden State Warriors
Utah Jazz,Portland Trail Blazers
Brooklyn Nets,Boston Celtics
Dallas Mavericks,Indiana Pacers
Houston Rockets,Los Angeles Lakers
Minnesota Timberwolves,Memphis Grizzlies
Charlotte Hornets,Milwaukee Bucks
Denver Nuggets,New Orleans Pelicans
Miami Heat,Orlando Magic
Oklahoma City Thunder,Philadelphia 76ers
Sacramento Kings,Phoenix Suns
Detroit Pistons,Toronto Raptors
Washington Wizards,Atlanta Hawks
Boston Celtics,Chicago Bulls
Los Angeles Clippers,Portland Trail Blazers
San Antonio Spurs,Sacramento Kings
Indiana Pacers,Brooklyn Nets
Houston Rockets,Dallas Mavericks
Orlando Magic,Detroit Pistons
Charlotte Hornets,Miami Heat
Golden State Warriors,New Orleans Pelicans
Phoenix Suns,Oklahoma City Thunder
Cleveland Cavaliers,Toronto Raptors
Los Angeles Lakers,Utah Jazz
Indiana Pacers,Chicago Bulls
Boston Celtics,Charlotte Hornets
Orlando Magic,Cleveland Cavaliers
Portland Trail Blazers,Denver Nuggets
Brooklyn Nets,Milwaukee Bucks
Memphis Grizzlies,New York Knicks
Atlanta Hawks,Philadelphia 76ers
Minnesota Timberwolves,Sacramento Kings
New Orleans Pelicans,San Antonio Spurs
Milwaukee Bucks,Detroit Pistons
Dallas Mavericks,Houston Rockets
Utah Jazz,Los Angeles Clippers
Washington Wizards,Memphis Grizzlies
San Antonio Spurs,Miami Heat
Los Angeles Lakers,Oklahoma City Thunder
Golden State Warriors,Phoenix Suns
Sacramento Kings,Atlanta Hawks
Chicago Bulls,Brooklyn Nets
Phoenix Suns,Los Angeles Clippers
Denver Nuggets,Toronto Raptors
Houston Rockets,Cleveland Cavaliers
New York Knicks,Detroit Pistons
Los Angeles Lakers,Indiana Pacers
Sacramento Kings,Miami Heat
Memphis Grizzlies,Minnesota Timberwolves
Milwaukee Bucks,New Orleans Pelicans
Orlando Magic,Philadelphia 76ers
Golden State Warriors,Portland Trail Blazers
Utah Jazz,San Antonio Spurs
Los Angeles Lakers,Atlanta Hawks
Chicago Bulls,Boston Celtics
Detroit Pistons,Brooklyn Nets
Philadelphia 76ers,Charlotte Hornets
Oklahoma City Thunder,Los Angeles Clippers
New Orleans Pelicans,Memphis Grizzlies
Houston Rockets,New York Knicks
Portland Trail Blazers,Phoenix Suns
Dallas Mavericks,Utah Jazz
