WTeam,LTeam,WLoc
Atlanta Hawks,New York Knicks,V
San Antonio Spurs,Brooklyn Nets,H
Memphis Grizzlies,Brooklyn Nets,H
Chicago Bulls,Brooklyn Nets,V
Detroit Pistons,Chicago Bulls,H
Miami Heat,Charlotte Hornets,H
Atlanta Hawks,Charlotte Hornets,H
Chicago Bulls,Cleveland Cavaliers,H
Cleveland Cavaliers,Memphis Grizzlies,V
Dallas Mavericks,Phoenix Suns,V
Los Angeles Clippers,Dallas Mavericks,H
Denver Nuggets,Houston Rockets,V
Detroit Pistons,Atlanta Hawks,V
Golden State Warriors,Houston Rockets,V
Golden State Warriors,New Orleans Pelicans,V
Toronto Raptors,Indiana Pacers,H
Los Angeles Clippers,Sacramento Kings,V
Sacramento Kings,Los Angeles Lakers,H
Memphis Grizzlies,Indiana Pacers,V
Cleveland Cavaliers,Miami Heat,H
Minnesota Timberwolves,Los Angeles Lakers,V
Minnesota Timberwolves,Denver Nuggets,V
Golden State Warriors,New Orleans Pelicans,H
Portland Trail Blazers,New Orleans Pelicans,H
New York Knicks,Milwaukee Bucks,V
New York Knicks,Washington Wizards,V
Oklahoma City Thunder,Orlando Magic,V
Boston Celtics,Philadelphia 76ers,H
Phoenix Suns,Portland Trail Blazers,V
Phoenix Suns,Portland Trail Blazers,H
Los Angeles Clippers,Sacramento Kings,H
Oklahoma City Thunder,San Antonio Spurs,H
Toronto Raptors,Boston Celtics,V
Detroit Pistons,Utah Jazz,H
Utah Jazz,Philadelphia 76ers,V
Utah Jazz,Indiana Pacers,V
Washington Wizards,Orlando Magic,V
Washington Wizards,Milwaukee Bucks,V
San Antonio Spurs,Boston Celtics,V
Chicago Bulls,Orlando Magic,H
Atlanta Hawks,Charlotte Hornets,V
Dallas Mavericks,Los Angeles Lakers,V
Miami Heat,Houston Rockets,H
Oklahoma City Thunder,Denver Nuggets,H
Toronto Raptors,Milwaukee Bucks,H
Milwaukee Bucks,Brooklyn Nets,V
Golden State Warriors,Memphis Grizzlies,H
Houston Rockets,Oklahoma City Thunder,H
Los Angeles Clippers,Phoenix Suns,H
Portland Trail Blazers,Minnesota Timberwolves,V
San Antonio Spurs,New York Knicks,V
Cleveland Cavaliers,Philadelphia 76ers,V
Charlotte Hornets,Chicago Bulls,H
Toronto Raptors,Dallas Mavericks,V
Indiana Pacers,Detroit Pistons,V
Denver Nuggets,Los Angeles Lakers,V
Atlanta Hawks,Miami Heat,V
Orlando Magic,New Orleans Pelicans,V
Memphis Grizzlies,Sacramento Kings,V
Atlanta Hawks,Brooklyn Nets,H
Cleveland Cavaliers,New York Knicks,H
Golden State Warriors,Los Angeles Clippers,H
Houston Rockets,Orlando Magic,H
Indiana Pacers,Boston Celtics,H
Milwaukee Bucks,Philadelphia 76ers,H
Toronto Raptors,Oklahoma City Thunder,V
Phoenix Suns,Sacramento Kings,H
Portland Trail Blazers,Utah Jazz,V
Washington Wizards,San Antonio Spurs,H
Chicago Bulls,Oklahoma City Thunder,H
